epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g
51,10/29 00:51:21,614,-108878.44258354996,-0.05027124658226967,0.0022474084980785847,16.707600103471595
52,10/29 00:51:23,255,-100214.28377908604,0.13591110706329346,0.012503269128501415,9.49143208349806
53,10/29 00:51:25,321,-101667.65334102717,0.12563510239124298,0.030998241156339645,19.528302377999005
54,10/29 00:51:29,500,-103070.76291868408,-0.007202162407338619,0.05127394571900368,24.66544560709796
55,10/29 00:51:35,507,-105554.67481110053,0.029457494616508484,0.046351078897714615,21.507995679869712
56,10/29 00:51:43,531,-133484.35553138144,-0.03880859911441803,0.0831720158457756,1.3435627359168525
57,10/29 00:51:52,608,-109685.03295630861,-0.081379234790802,0.007078750059008598,15.623142254809826
58,10/29 00:51:58,457,-101029.21637344324,0.07511156052350998,-0.02408038266003132,10.200518377255836
59,10/29 00:52:02,236,-102271.29227957768,0.09738510847091675,0.13333658874034882,26.35148907959632
60,10/29 00:52:05,338,-102940.07958651514,0.10798046737909317,0.08456255495548248,23.09087814418832
61,10/29 00:52:10,535,-112547.12861626681,-0.04022521898150444,0.046986158937215805,7.376065560417875
62,10/29 00:52:15,509,-101152.86368507438,0.04857699200510979,-0.021834807470440865,25.838060350516592
63,10/29 00:52:19,430,-103437.81186580262,0.08018677681684494,-0.0837225615978241,27.47072014364016
64,10/29 00:52:24,625,-99940.84338625663,-0.08845514059066772,-0.005360038485378027,12.477456428418312
65,10/29 00:52:29,382,-102363.28092643096,0.09690596908330917,-0.023743966594338417,29.537608824769894
