0,10/11 04:00:55,10000,-116460.62246843902,0.06784967333078384,-0.0668986365199089,5.4707224290104985
1,10/11 04:01:08,1605,-121373.8036072698,0.09797520190477371,-0.05783115699887276,18.080772315268764
2,10/11 04:01:41,4379,-146926.47333401657,0.03375588357448578,-0.027753179892897606,20.15232497156487
3,10/11 04:01:55,2043,-135796.73617912875,0.10492363572120667,-0.10228202491998672,14.781498839048206
4,10/11 04:02:06,1391,-126838.26649207086,-0.1236134022474289,-0.0044196490198373795,24.538320172174625
5,10/11 04:02:16,1385,-127357.68772958816,0.06918340176343918,-0.050663527101278305,26.777453590633307
6,10/11 04:02:34,2435,-127719.10283304975,-0.0449039489030838,0.04639262706041336,24.433483696738605
7,10/11 04:02:52,2374,-137336.85988208203,0.057959217578172684,0.11907044798135757,23.523530118166324
8,10/11 04:03:13,2756,-144139.823514806,-0.041580915451049805,0.039563391357660294,21.94394265292581
9,10/11 04:04:26,10000,-150792.87209661657,0.12555788457393646,0.025225181132555008,1.4491469073896595
10,10/11 04:04:50,2881,-157173.22741059618,0.08580964058637619,-0.017706498503684998,21.32705794739388
11,10/11 04:06:01,10000,-120520.22544340877,-0.052448105067014694,-0.02755093201994896,4.343446402522586
12,10/11 04:07:12,10000,-27452.361563848008,-0.0006851553916931152,-0.006597906816750765,5.202572738270254
13,10/11 04:07:39,3640,-152192.93956077396,0.07517874985933304,0.06718596816062927,25.6019809151148
14,10/11 04:08:51,10000,-92810.04719865792,-0.03315132483839989,-0.04614800214767456,4.447469323991439
15,10/11 04:08:56,612,-105727.39167579482,-0.13065628707408905,-0.11938827484846115,22.92821918364492
16,10/11 04:09:18,3295,-182500.79258558166,0.0718228816986084,0.09980114549398422,11.869235397203859
17,10/11 04:09:56,5829,-166598.44602578867,0.023589761927723885,0.1159605160355568,15.928315614581596
18,10/11 04:10:00,676,-114577.86074329219,-0.12442765384912491,-0.12716659903526306,7.039609469822049
19,10/11 04:10:09,1298,-129898.17908910522,0.0482228547334671,-0.02814549021422863,27.624073879916573
20,10/11 04:10:26,2208,-148180.28419861099,0.13413546979427338,0.10672823339700699,11.21079318884046
21,10/11 04:11:34,10000,-19582.386107387672,0.03255070373415947,0.02885625697672367,1.7645813002075654
22,10/11 04:11:50,2346,-146582.90682924355,-0.07117355614900589,0.06077644228935242,21.13438011546556
23,10/11 04:12:11,3210,-128811.48700954995,-0.022469038143754005,-0.015891721472144127,27.60233646106107
24,10/11 04:12:22,1617,-124551.39916772104,-0.04756713658571243,-0.02664906159043312,28.10966304221583
25,10/11 04:13:29,10000,-35635.90225152871,-0.0373443141579628,0.018228521570563316,18.866014042804366
26,10/11 04:13:51,3346,-98251.53172840139,0.05592362955212593,-0.0409698449075222,25.278048984847107
27,10/11 04:14:57,10000,-185316.11665096425,0.09396442025899887,-0.12003769725561142,1.8326664576667715
28,10/11 04:16:04,10000,-207140.26801880004,0.12605991959571838,-0.08263330906629562,2.533512992819716
29,10/11 04:16:11,1074,-127700.50754504133,-0.07160031795501709,-0.1346280723810196,18.253011244910834
30,10/11 04:16:35,3107,-156156.51575273636,0.10739818960428238,0.011756219901144505,5.125782565988084
31,10/11 04:17:38,10000,-215964.40126391468,-0.0710662379860878,0.04395376145839691,11.276016013335049
32,10/11 04:17:43,575,-112802.0357471112,-0.004847867880016565,-0.11243000626564026,24.8633777097213
33,10/11 04:18:14,4953,-171461.235949899,0.04073434695601463,-0.05178341269493103,23.429243004753666
34,10/11 04:18:23,1493,-126821.42865176707,-0.01649112068116665,-0.08811055123806,27.190261983850327
35,10/11 04:18:31,1127,-117096.25555034573,-0.128548726439476,0.09210508316755295,17.155742937843158
36,10/11 04:18:52,3507,-146147.84907984454,-0.0017218140419572592,-0.09776249527931213,17.70524597770594
37,10/11 04:19:15,3472,-153633.27215411293,0.02594001404941082,0.03719542175531387,19.721906153330437
38,10/11 04:19:40,3862,-149669.05180012464,-0.010310234501957893,-0.11379674077033997,24.38228415076742
39,10/11 04:19:50,1591,-132016.28977916948,-0.1327057033777237,0.0766514390707016,15.467366334205119
40,10/11 04:20:19,4351,-145456.55982765814,-0.032417893409729004,-0.07802467048168182,13.378888696284351
41,10/11 04:20:46,4217,-168190.81998135961,-0.12848041951656342,0.01867641881108284,9.295662227554374
42,10/11 04:21:51,9958,-159148.41355037226,-0.05633649230003357,-0.036824386566877365,8.13766561301546
43,10/11 04:22:22,4956,-163828.32265029548,0.06721338629722595,0.10299358516931534,13.779937813715522
44,10/11 04:22:33,1595,-132135.56635973908,-0.04548930376768112,-0.10073325037956238,17.737974001209178
45,10/11 04:22:46,1907,-125119.39910893404,-0.04986543208360672,0.018365919589996338,6.483885356141419
46,10/11 04:23:53,10000,-249834.0424158767,-0.09617951512336731,-0.10825854539871216,8.582041804854141
47,10/11 04:24:04,1605,-139439.1100845086,-0.0895857959985733,-0.10242622345685959,23.268349921609047
48,10/11 04:24:22,2861,-134843.9745888504,-0.06126025319099426,-0.0415978878736496,28.424047934345204
49,10/11 04:24:50,4328,-126961.36227134755,-0.04683730751276016,0.044715944677591324,21.182774631173633
50,10/11 04:25:01,1350,-120243.88101082432,-0.011391890235245228,-0.10223511606454849,24.180019683798665
51,10/11 04:25:27,4148,-143767.82721107974,-0.024568114429712296,-0.11530237644910812,9.822798154796159
