0001,-373042.0387806842,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-56015.49919941559,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-990225.7051592978,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-28210.90695043251,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-593073.2769510095,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-841947.9848608604,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-293877.7930931422,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-798361.8085735857,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-15760.010744731515,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
0001,-815970.0423356527,SimulationConfig(dt=0.001, eta=0.0003, seed=None, T=8, n_sensor_1d=10, n_mf=100, max_firing_rate=200, transmitt_speed=50, sigma=0.05, tau_pre_ms=5.0, tau_post_ms=5.0, tau_e_ms=50, tau=2.0, n_grc=8, n_goc=2, n_pkj=1, n_mli=2, n_cf=4, t_grc=2, t_goc=2, t_pkj=2, t_mli=2, t_motor=2, th_pkj=1.0, weight_init='kaiming', simulation_duration_s=5.0, success_duration_s=3.0, num_steps=64, success_reward_per_sec=100, penalize_failure_per_sec=100, plate_size=0.3, ball_mass=None, ball_density=2000, n_motor=4, motor_mode='motor_neuron', motor_gain=1.0, motor_max_hinge_deg=10.0, motor_window_time=0.01, motor_window_len=50, use_ema=False, ema_alpha=0.5)
