epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,start_distance,final_distance,total_reward_per_L1_dist
1,10/30 15:32:41,10000,-16683.372962838373,-0.06009208783507347,-0.02370893955230713,2.1150863463215943,False,True,0.0646000978158721,0.0849864387749783,-258256.15636667513
2,10/30 15:34:41,10000,-88737.66583216822,-0.12542857229709625,0.07782074064016342,23.765428838714417,False,True,0.1476089290702208,0.1956685756703603,-601167.3303987848
3,10/30 15:35:41,4822,-82392.24488516562,-0.07288874685764313,-0.055828772485256195,27.609978254059193,False,True,0.09181296937957556,0.023244233197720683,-897392.2251064277
4,10/30 15:37:08,5071,-90485.39551384252,0.07770588994026184,0.1112372949719429,29.41779010239214,False,True,0.13569061067864474,0.21216046813233924,-666850.8238063615
5,10/30 15:37:22,773,-120065.82589964141,-0.04092887416481972,-0.013086413964629173,20.237867684436807,False,True,0.042970070764443494,0.12187949401350921,-2794173.3342220243
6,10/30 15:37:31,662,-99350.82431304432,0.10524889826774597,-0.025710590183734894,13.013678101100338,False,True,0.1083437334816554,0.2122422272363053,-916996.4992010014
7,10/30 15:37:37,569,-104314.91160486142,0.08256896585226059,-0.03818986192345619,25.076139121433776,False,True,0.09097306930695227,0.2124061891736254,-1146657.0535604602
8,10/30 15:37:49,964,-143326.213082722,-0.0140455961227417,0.08989880979061127,19.976314631649785,False,True,0.09098941687597993,0.21214052946468423,-1575196.5228887883
9,10/30 15:38:28,3490,-98470.75551038794,0.05324050411581993,-0.12309190630912781,5.959652717949531,False,True,0.1341125239674005,0.10315164212606114,-734239.8203938343
10,10/30 15:38:40,1035,-135708.79880877936,-0.09874993562698364,0.024073444306850433,16.810276090711803,False,True,0.10164192193748361,0.21262507039886913,-1335165.6110187399
11,10/30 15:38:55,1268,-110369.96267544459,-0.044965747743844986,-0.04822954908013344,12.238103837220523,False,True,0.06593942646177367,0.17968323265740432,-1673808.3510542535
12,10/30 15:39:05,887,-113130.03622062509,-0.08348622918128967,0.06307900696992874,21.863861345050847,False,True,0.10463704558731697,0.21280641678372667,-1081166.1929638574
13,10/30 15:39:18,1091,-110337.30154517562,0.06162061169743538,0.11539439857006073,13.976702172784263,False,True,0.13081653804807156,0.21223899002508972,-843450.7073152298
14,10/30 15:39:25,573,-102020.02590903745,-0.11893055588006973,-0.13679997622966766,6.038944646314015,False,True,0.1812697181992522,0.17078807468151508,-562807.8805578367
15,10/30 15:39:30,385,-100762.55077197915,0.05011206120252609,0.13361097872257233,17.534119756386062,False,True,0.14269937298018112,0.09611986133190308,-706117.6841048461
16,10/30 15:39:38,713,-119885.973159748,-0.0011653427500277758,-0.031582482159137726,22.004844917274703,False,True,0.03160397465875067,0.2125963745689181,-3793382.7771423473
17,10/30 15:39:48,875,-100021.88564534335,0.09841006994247437,-0.009252477437257767,9.945643420223885,False,True,0.09884407061827258,0.2121972132071468,-1011915.889538983
18,10/30 15:39:52,303,-101840.00878410706,-0.1333945095539093,-0.12595157325267792,24.526951748819325,False,True,0.18346087740571568,0.20113088971812154,-555104.7734220324
19,10/30 15:40:12,1279,-111100.02065181911,-0.025052431970834732,-0.040485065430402756,13.500318577679662,False,True,0.04760950524099806,0.21229731637769203,-2333568.057248941
20,10/30 15:40:18,407,-105096.13283241693,-0.12469930946826935,0.09065857529640198,29.597400495100295,False,True,0.15417163933217606,0.2122951179659033,-681682.6576383369
21,10/30 15:41:00,2105,-119759.77519679314,-0.09949634224176407,0.04819180816411972,8.441509609277471,False,True,0.11055303007183727,0.2122929913895199,-1083278.9939721539
22,10/30 15:41:13,734,-118811.17796473739,0.026901911944150925,-0.035877469927072525,15.478866729555767,False,True,0.0448431226556872,0.21229751907044977,-2649484.9361180523
23,10/30 15:41:27,680,-104443.70066167125,-0.012713626027107239,0.03499395400285721,24.74402257056083,False,True,0.03723188306207181,0.18539908047072157,-2805222.085800657
24,10/30 15:43:38,8593,-50936.911441095726,-0.010958327911794186,0.013779420405626297,5.2946311028043125,False,True,0.017605606094964713,0.21215681549468304,-2893221.123223013
25,10/30 15:44:01,1897,-103152.46712773488,-0.09966567158699036,0.132742777466774,5.236359807726471,False,True,0.16599364976736636,0.14268044397233634,-621424.1766013282
26,10/30 15:44:07,451,-104052.43803163234,-0.09967762976884842,0.05863097310066223,20.396777445790818,False,True,0.11564264066259235,0.21218373230613966,-899775.700688326
27,10/30 15:44:12,421,-98934.07421101461,0.11858826130628586,0.049087829887866974,16.423556278434948,False,True,0.12834636882379286,0.21214919807801808,-770836.5660647674
28,10/30 15:45:08,3000,70458.03840917975,-0.007070773281157017,-0.0008011962054297328,1.9202555902569398,True,False,0.0071160204704394546,0.008068754253433305,9901325.987167735
29,10/30 15:59:55,10000,-11867.463170323377,-0.08701001107692719,0.009583640843629837,4.027514530340396,False,True,0.08753621116311328,0.011394461320872868,-135572.04513009795
30,10/30 16:00:06,578,-106320.4895897393,0.06555160880088806,0.01622576266527176,25.722273276732164,False,True,0.06752991169217266,0.21220839519440063,-1574420.6815253813
31,10/30 16:03:23,10000,-10085.37616286268,0.040451325476169586,0.029789714142680168,2.1672715230221793,False,True,0.050236807177710986,0.05720919029704103,-200756.71065611328
32,10/30 16:06:02,10000,-64735.44524794896,-0.09753181785345078,-0.08158018440008163,16.931750062372096,False,True,0.12715259433871767,0.1380207721998994,-509116.19683906966
