epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/29 03:00:35,10000,-5686.427154445086,0.03764819726347923,0.0022544569801539183,16.70548704171771,False,True,-142507.5
2,10/29 03:00:53,10000,-3246.843551949527,-0.023065945133566856,0.016775798052549362,14.53901699146519,False,True,-516179.28125
3,10/29 03:01:18,5061,-100881.44600857787,0.13901002705097198,-0.07130762934684753,1.6278769710136531,False,True,-1490072.0
4,10/29 03:01:40,4769,-107064.37841661312,0.10109579563140869,0.04491307586431503,22.36531117315353,False,True,-733273.0625
5,10/29 03:02:26,8932,-49916.26737077985,-0.0004549099539872259,0.11137310415506363,6.128969524953842,False,True,-450027.75
6,10/29 03:02:40,2305,-114256.6279819477,0.050139982253313065,0.12842032313346863,21.503719106757185,False,True,-639877.0
7,10/29 03:02:46,1024,-112032.93460868897,0.09162701666355133,-0.03724253922700882,26.057019748106775,False,True,-2060016.75
8,10/29 03:03:17,5493,-113216.77607961692,0.004983334336429834,-0.11995258182287216,17.02739446122032,False,True,-984757.0
9,10/29 03:03:25,1317,-126799.33362538103,-0.028704175725579262,-0.016734356060624123,21.0550942771444,False,True,-2790568.5
10,10/29 03:03:29,706,-125592.52459706187,-0.011917004361748695,0.08677081018686295,22.46084849688782,False,True,-1677837.5
11,10/29 03:03:33,564,-111003.37117911334,-0.055319223552942276,0.06353187561035156,27.505162941080066,False,True,-13516142.0
12,10/29 03:04:33,10000,-36577.653578172656,-0.12962739169597626,0.10916655510663986,6.26235714179514,False,True,-1787691.0
13,10/29 03:04:40,1044,-147519.06419082437,0.07754486799240112,0.06359445303678513,23.197830842353287,False,True,-1045201.6875
14,10/29 03:04:59,3174,-98419.6213302316,0.1241341233253479,0.08286520838737488,7.352130697910385,False,True,-475458.65625
15,10/29 03:05:50,8882,-81238.11365257321,-0.10970976948738098,-0.027966218069195747,18.32962711575953,False,True,-590067.4375
16,10/29 03:06:17,4268,-94625.07928852426,0.08458878844976425,-0.10354934632778168,15.121674197680207,False,True,-4990627.5
17,10/29 03:06:37,3652,-113226.98394613975,0.0722431093454361,-0.12318912893533707,8.813949528238698,False,True,-2222489.25
18,10/29 03:07:47,10000,-33378.529227202154,-0.09474161267280579,0.11693523824214935,10.460505048585333,False,True,-1503969.125
20,10/29 03:43:48,10000,-18407.34257201708,0.01885204017162323,0.06517280638217926,7.5260050423943,False,True,-219070.21875
21,10/29 03:44:17,10000,-46541.332888232464,-0.07297826558351517,0.07941126823425293,10.077151551792223,False,True,-7234776.0
22,10/29 03:45:01,5568,-92569.82966961814,-0.042265307158231735,0.11670994758605957,8.482551268226624,False,True,-1243472.125
23,10/29 03:45:20,2838,-106268.11863911126,0.09725873172283173,-0.12715992331504822,29.555092134842784,False,True,-3553976.0
24,10/29 03:45:24,719,-110255.69289093978,-0.024291547015309334,0.09635777771472931,15.676253786643526,False,True,-1529921.75
25,10/29 03:45:31,1267,-124146.41977167572,0.09463207423686981,0.0917862132191658,14.601736737479204,False,True,-665956.1875
26,10/29 03:46:41,10000,-25724.729038325004,0.03899062052369118,-0.09015294164419174,2.669263138087695,False,True,-502806.125
27,10/29 03:46:47,822,-124203.74330529712,0.014397690072655678,-0.032695285975933075,27.376390750198322,False,True,-6787981.5
28,10/29 03:47:11,2611,-96515.48702834721,0.10087276995182037,-0.01113616582006216,17.247247037075965,False,True,-1075542.0
29,10/29 03:48:29,10000,-6776.0176338797255,-0.04444945231080055,0.028548965230584145,2.5102040327151696,False,True,-426151.5625
31,10/29 03:51:20,10000,-51758.1408885846,0.10269319266080856,0.0488068051636219,16.121652269624,False,True,-341637.875
32,10/29 03:51:49,10000,-65374.0673051403,0.08837368339300156,-0.09238717705011368,2.210345047974196,False,True,-16288569.0
33,10/29 03:52:11,3192,-95885.95380745365,-0.03409760072827339,-0.124562107026577,18.271145923439395,False,True,-604349.75
34,10/29 03:52:27,3140,-108349.31662054153,0.01278370339423418,0.02358734980225563,4.055891491773423,False,True,-2978998.75
35,10/29 03:52:34,1282,-152952.5917162617,-0.0850953608751297,-0.03577597066760063,9.774745660928765,False,True,-1265416.625
36,10/29 03:52:37,353,-108763.45679785722,0.11228275299072266,0.102474644780159,14.342757095606906,False,True,-506448.0
37,10/29 03:52:42,641,-126415.3095557871,0.006368863396346569,0.0340261310338974,24.218648712319926,False,True,-3129479.5
38,10/29 03:52:47,1001,-117086.04361783723,-0.06341534852981567,0.05975208804011345,24.959177690174727,False,True,-31962250.0
39,10/29 03:52:52,744,-88306.59515740303,-0.015989413484930992,0.025069916620850563,17.156778802474996,False,True,-9724857.0
40,10/29 03:52:56,616,-105368.15953626554,-0.013915793970227242,-0.06767802685499191,29.011848636076014,False,True,-1291374.25
41,10/29 03:53:05,1873,-144337.4098650499,0.03182569146156311,-0.010922089219093323,1.9199887143920282,False,True,-6904906.0
42,10/29 03:53:14,1639,-113256.48833697992,-0.04586254805326462,0.0908278301358223,3.1827814210923027,False,True,-2518754.25
43,10/29 03:53:16,299,-100921.151603334,0.13143610954284668,-0.056976791471242905,13.184849362307183,False,True,-1355386.5
44,10/29 03:53:18,297,-101570.31662129676,0.12470106780529022,0.017163902521133423,8.428478107840068,False,True,-715964.75
45,10/29 03:53:22,578,-120603.92157390874,0.026225294917821884,0.014667283743619919,24.451024176435727,False,True,-2949286.25
46,10/29 03:53:26,651,-117083.40210385266,-0.0011941257398575544,0.06734484434127808,25.97729311174227,False,True,-1769949.0
47,10/29 03:53:32,1009,-106041.34279286508,-0.1220434233546257,-0.13470031321048737,6.538032783750754,False,True,-413024.09375
48,10/29 03:53:35,565,-126250.7223273036,0.044990260154008865,-0.055817026644945145,15.401210266528336,False,True,-11660981.0
49,10/29 03:53:41,933,-128214.17586888047,-0.11561182886362076,-0.045063477009534836,20.62451025661318,False,True,-797970.6875
50,10/29 03:53:46,774,-118571.7733532538,-0.07726767659187317,0.06397673487663269,29.105713561569477,False,True,-8921247.0
51,10/29 03:53:50,472,-121828.55288787247,0.07154462486505508,0.1140563115477562,25.490467952887396,False,True,-656400.5625
52,10/29 03:53:54,672,-120400.39817193226,0.035674210637807846,-0.0986429825425148,7.6689517267333995,False,True,-1912065.125
53,10/29 03:53:57,361,-103924.37426349068,0.11912039667367935,-0.08265192061662674,11.08272103533579,False,True,-2849704.25
