epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g
1,10/27 16:11:35,10000,-66001.48838546887,0.05214034393429756,0.11739444732666016,4.732007534659372
2,10/27 16:11:59,10000,-50113.22152052557,-0.08902285993099213,-0.021703941747546196,28.532872783630463
3,10/27 16:12:36,10000,-43349.00290652883,-0.048517946153879166,0.10395290702581406,11.127313593616163
4,10/27 16:12:42,2424,-119085.32493171116,0.13353021442890167,0.10202725976705551,28.23119478178032
5,10/27 16:12:54,2836,-98236.09121108429,0.00120627845171839,-0.010077758692204952,10.610300233447347
6,10/27 16:12:59,1075,-111863.11510531849,-0.03170360252261162,0.0254772137850523,12.992790808940978
7,10/27 16:13:02,420,-99469.85135067452,0.013284806162118912,-0.1182876005768776,18.843937841450654
8,10/27 16:13:30,5607,-74853.65681321909,0.10489460080862045,0.021272830665111542,10.569506920533211
9,10/27 16:13:34,922,-113491.22027356029,0.10309601575136185,0.06082376837730408,24.466323367597337
10,10/27 16:13:38,834,-106559.50299937553,-0.05768381431698799,-0.01585947535932064,11.605546285629327
11,10/27 16:13:42,725,-109838.75789130572,0.024019034579396248,-0.06452032178640366,14.494433904309274
12,10/27 16:13:45,511,-106304.95973806495,0.0431646928191185,-0.07381285727024078,19.317982488113138
13,10/27 16:14:19,7965,-78834.7204444877,0.02079879865050316,-0.10551372170448303,4.580476798718294
14,10/27 16:14:21,430,-102631.48331148417,0.008944791741669178,-0.09742113202810287,12.093098056220484
15,10/27 16:14:22,351,-102773.61058028371,-0.060275208204984665,-0.11476855725049973,20.323673380255354
16,10/27 16:14:23,489,-105675.7172816252,-0.07360076904296875,-0.025372792035341263,16.358914306462875
17,10/27 16:14:28,2329,-115818.78216136756,0.0522986575961113,0.017919691279530525,6.489795653719038
18,10/27 16:14:29,457,-107444.11957126115,-0.012225648388266563,-0.06984476745128632,21.678794491089054
19,10/27 16:14:31,391,-99031.86424681608,-0.1270315945148468,0.004172413609921932,14.747350306093258
20,10/27 16:14:32,371,-100605.29341295084,0.021815061569213867,-0.1295248568058014,9.93166100052086
21,10/27 16:14:35,1323,-130637.74404168176,0.11558524519205093,0.10040366649627686,12.948235517030948
22,10/27 16:14:36,482,-105065.2791735183,-0.055979397147893906,-0.05376962199807167,27.83991847544328
23,10/27 16:14:48,5946,-94163.18422463408,-0.11233469843864441,0.12330800294876099,5.6990629947263
24,10/27 16:14:50,735,-105415.09245432577,0.006864487659186125,0.03391236066818237,26.5511292283265
25,10/27 16:14:54,1834,-105195.08421224098,0.132013201713562,0.07933883368968964,9.137918778612281
