epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
19,10/29 17:25:04,3150,-115141.06207297283,-0.10229989886283875,0.026414692401885986,26.921349132749903,False,True,-1517305.75
20,10/29 17:25:12,1598,-116949.2450324039,-0.11037112772464752,0.08734174072742462,27.17477287034068,False,True,-5078261.0
21,10/29 17:25:21,1707,-118901.36000101961,0.016228338703513145,-0.08798890560865402,9.576941840887896,False,True,-1656917.875
22,10/29 17:25:24,424,-101488.60944144684,0.0958750993013382,-0.13391375541687012,16.262054908058232,False,True,-2668038.75
23,10/29 17:26:00,7517,-134620.5279095937,0.02542908489704132,0.1317840963602066,20.226344116702084,False,True,-856292.875
24,10/29 17:26:05,889,-110920.96744534324,0.07855372875928879,0.04850076884031296,23.47647790686013,False,True,-873018.8125
25,10/29 17:26:11,1331,-119886.90401344412,0.039551742374897,0.06816240400075912,10.32952476156022,False,True,-1113009.875
26,10/29 17:26:21,1915,-110603.58294631334,-0.06425733864307404,0.00881301797926426,20.56967902251887,False,True,-1994858.625
27,10/29 17:26:26,925,-100473.99746820646,0.02796849235892296,0.12656152248382568,8.309875709112363,False,True,-650190.8125
28,10/29 17:26:32,1239,-120074.42522225696,0.0341196246445179,-0.04722745716571808,19.784610807441624,False,True,-9160509.0
29,10/29 17:26:40,1535,-112862.72094840462,-0.13680531084537506,0.04446732997894287,13.198739184685286,False,True,-1222278.375
30,10/29 17:26:55,2975,-92031.81846801998,0.0382855162024498,0.058845169842243195,8.923581895981021,False,True,-947505.125
31,10/29 17:27:38,8375,1050474.8487306319,-0.12515529990196228,-0.1238233745098114,2.564668426663891,True,False,4219136.0
32,10/29 17:27:46,1585,-109599.62300472196,0.12992429733276367,0.12696057558059692,9.673760613638818,False,True,-426648.8125
33,10/29 17:28:03,3618,-133411.70836977253,-0.02341361716389656,-0.034874558448791504,10.957559442817423,False,True,-2288829.5
34,10/29 17:28:08,900,-118132.00671370914,-0.0022437176667153835,-0.02114124223589897,20.076358102836124,False,True,-5051623.0
35,10/29 17:28:14,1184,-106209.89622703657,-0.01930863782763481,0.02795085869729519,24.626416855610294,False,True,-12289653.0
36,10/29 17:28:29,2903,-138044.78390851826,-0.13069362938404083,-0.04156278446316719,27.988402733372336,False,True,-801391.25
37,10/29 17:28:42,2625,-122796.89293529981,0.11184494942426682,-0.05042261630296707,28.27418820317371,False,True,-1999222.125
38,10/29 17:29:01,3894,-185211.34152230102,0.00771164707839489,0.06039166823029518,14.206695632518603,False,True,-2719564.25
39,10/29 17:29:13,2348,-132597.47799637372,0.0007166744908317924,-0.10937179625034332,4.164950701287369,False,True,-1220351.875
40,10/29 17:29:25,2291,-148200.08276304987,0.051028259098529816,0.0494796484708786,24.45946114795588,False,True,-1474511.625
41,10/29 17:29:30,1012,-146544.29128164542,0.04058598726987839,-0.10664340853691101,25.19342154937291,False,True,-2218438.0
42,10/29 17:29:40,1919,-146701.77734558596,0.07612719386816025,-0.11031243205070496,6.952163691822532,False,True,-4291378.0
43,10/29 17:29:47,1217,-110273.86494898534,-0.0434514582157135,0.05815938487648964,28.40700586589856,False,True,-7497580.5
44,10/29 17:29:52,848,-112548.84433795401,0.11758113652467728,0.044863395392894745,17.462558777526645,False,True,-692844.75
45,10/29 17:29:55,667,-108578.10271922854,-0.08060666173696518,0.11606347560882568,17.472073465585698,False,True,-3062263.25
46,10/29 17:29:58,421,-105878.20975578732,-0.12636779248714447,-0.037932492792606354,9.846677350863073,False,True,-644418.875
47,10/29 17:30:03,983,-122394.2465146096,0.05193350091576576,0.0607413612306118,22.870057135984844,False,True,-1086260.5
