epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
30,10/29 11:29:24,5000,-17631.682195041438,0.08786474913358688,0.03312581777572632,8.958313938010612,False,True,-145727.734375
31,10/29 11:31:43,1894,-46606.6888017344,-0.08912333101034164,0.020895499736070633,7.241071481292209,False,True,-683103.8125
32,10/29 11:31:48,862,-81460.27483269897,0.08287036418914795,0.12344281375408173,22.83481550369991,False,True,-394837.96875
33,10/29 11:31:51,447,-55491.52630636159,-0.04617207869887352,-0.12320513278245926,20.35428594080686,False,True,-327620.96875
34,10/29 11:31:55,606,-65171.734501388084,-0.05943741276860237,0.0996222048997879,13.204852432887934,False,True,-1621801.0
35,10/29 11:32:00,703,-65867.76421119682,-0.008486666716635227,0.02246699295938015,13.700986937472022,False,True,-4711461.5
36,10/29 11:32:03,393,-52763.716020957756,-0.11747371405363083,-0.12474923580884933,9.18783868413387,False,True,-217831.203125
37,10/29 11:32:05,253,-51454.634839342645,-0.1327430009841919,0.07853905856609344,14.447003033118577,False,True,-949278.5
38,10/29 11:32:39,5000,-30973.234127980795,0.1160033568739891,-0.012222475372254848,2.2903703632009256,False,True,-298448.375
39,10/29 11:32:44,739,-110770.0435043768,0.04370371252298355,0.11801452189683914,17.76408543621012,False,True,-684957.0625
40,10/29 11:32:49,703,-41264.2612533866,0.013304095715284348,0.026454001665115356,18.96482769823412,False,True,-1037883.1875
41,10/29 11:33:00,1185,-73369.24685448753,0.05800974741578102,0.128300279378891,5.957208391248165,False,True,-393801.9375
42,10/29 11:33:05,602,-90758.53251881836,0.11890389770269394,-0.10968796908855438,29.465981016798683,False,True,-9848007.0
43,10/29 11:33:15,1144,-70181.77343026764,0.12272375822067261,-0.023908650502562523,6.8935508734465945,False,True,-710233.25
44,10/29 11:33:22,876,-99474.13032305989,0.12306199967861176,0.0873490646481514,25.46622275307279,False,True,-472760.9375
45,10/29 11:33:28,628,-73684.80249011678,-0.03165693208575249,-0.023236216977238655,13.207416890085922,False,True,-1342331.5
46,10/29 11:33:37,944,-67306.91129802773,0.11095558851957321,-0.02034890279173851,8.923509302301396,False,True,-742847.0625
47,10/29 11:33:40,268,-51628.69513392975,-0.12591621279716492,-0.1350880116224289,22.359352449338772,False,True,-197807.90625
48,10/29 11:33:46,543,-53107.06194919814,0.000419052317738533,-0.1284525990486145,13.70885451974915,False,True,-414790.21875
49,10/29 11:33:56,473,-67000.41703744768,-0.07172767072916031,-0.018558213487267494,26.09739338579611,False,True,-742091.8125
50,10/29 11:34:04,593,-85188.58480007772,-0.02643561363220215,0.12621983885765076,24.843559506668587,False,True,-853728.0
51,10/29 11:34:15,855,-86285.93782591009,0.12002147734165192,0.06111958995461464,28.097339095787596,False,True,-476346.65625
52,10/29 11:34:24,841,-88351.14288084499,0.0573270209133625,0.11206689476966858,14.370069320686838,False,True,-521572.125
53,10/29 11:34:31,674,-85536.0702529905,0.0070917196571826935,-0.07677802443504333,24.339595212396592,False,True,-1227444.375
54,10/29 11:34:36,460,-52848.89828560414,-0.09844835102558136,0.0746266320347786,8.663395781487786,False,True,-2218517.5
55,10/29 11:34:44,737,-83158.36748105208,0.04393285885453224,-0.05750513821840286,20.186910310900007,False,True,-6127074.5
56,10/29 11:34:51,624,-100755.2622827559,0.12661108374595642,-0.1235843151807785,21.4456303214291,False,True,-33288064.0
57,10/29 11:34:58,651,-69208.45378441557,0.04429582506418228,-0.12867166101932526,8.201384197481795,False,True,-820240.1875
58,10/29 11:35:05,779,-73465.39146719176,0.08119622617959976,0.030500393360853195,26.729400352286035,False,True,-657722.625
59,10/29 11:35:13,759,-63161.044889735495,0.08042298257350922,0.01970824785530567,29.506662045283015,False,True,-630782.6875
60,10/29 11:35:16,287,-53952.91393390056,-0.1224021390080452,0.0009658490889705718,17.27811437426044,False,True,-444289.875
61,10/29 11:36:31,5000,-20501.448480857714,0.09960232675075531,-0.01930747739970684,1.936638107619161,False,True,-255327.078125
62,10/29 11:36:37,786,-53429.79559093311,-0.04598751291632652,-0.11782818287611008,17.70141908318647,False,True,-326158.0
63,10/29 11:36:41,501,-65451.845776058544,-0.0020362259820103645,0.10160176455974579,21.115688627921816,False,True,-657374.5625
64,10/29 11:36:44,322,-53315.961680811946,-0.11390871554613113,0.1297559142112732,25.580318708512447,False,True,-3364377.75
65,10/29 11:36:46,310,-57999.08183519829,-0.11899750679731369,-0.07074320316314697,26.52312838762966,False,True,-305675.46875
66,10/29 11:36:56,1346,-76379.5469853238,0.0887591689825058,-0.06952037662267685,8.55838512225221,False,True,-3970080.0
67,10/29 11:37:01,652,-70872.47851121206,0.037873320281505585,0.07180717587471008,14.808623639295783,False,True,-646172.125
68,10/29 11:37:06,638,-76356.35415548079,-0.00028616125928238034,-0.06441530585289001,27.663482669728698,False,True,-1180133.25
69,10/29 11:37:14,967,-65733.06039916149,-0.039436645805835724,-0.11974499374628067,4.129408029565681,False,True,-412943.75
70,10/29 11:37:18,384,-53918.37153433089,-0.10991430282592773,0.060934748500585556,11.624019886503957,False,True,-1100834.25
71,10/29 11:38:02,5000,-33202.64845322424,-0.07772520184516907,0.0647084042429924,1.617630893095884,False,True,-2550754.0
72,10/29 11:38:09,537,-76300.47791528581,-0.04566776752471924,-0.12366596609354019,26.460728466760525,False,True,-450592.3125
73,10/29 11:38:19,918,-61125.51627073024,-0.06507497280836105,0.07049673795700073,4.372953994423437,False,True,-11274099.0
74,10/29 11:38:26,528,-68062.82138839508,0.052703164517879486,0.09388453513383865,22.72545439967559,False,True,-464314.6875
75,10/29 11:38:35,837,-103498.32132940911,0.11818902939558029,-0.058882925659418106,21.01689901143913,False,True,-1745154.625
76,10/29 11:38:43,779,-71590.22059648736,0.07381138950586319,-0.046910304576158524,19.489583337695127,False,True,-2661239.0
77,10/29 11:38:53,891,-101477.9540317821,0.1350124329328537,0.03148537129163742,15.039435821457195,False,True,-609485.25
78,10/29 11:39:00,603,-72594.5827307824,-0.020508665591478348,-0.11306125670671463,29.667076704294946,False,True,-543495.0
79,10/29 11:39:07,671,-75527.07810532783,0.020496908575296402,0.02707064524292946,16.579608277804887,False,True,-1587785.625
80,10/29 11:39:11,329,-57224.43692278905,-0.11075601726770401,0.03129167854785919,27.353484514487967,False,True,-720127.25
81,10/29 11:39:21,884,-89467.39521844301,0.11509602516889572,-0.08553226292133331,13.051484729103668,False,True,-3026252.25
82,10/29 11:39:28,660,-79308.83637090579,0.01151681412011385,-0.07289974391460419,29.334287923958897,False,True,-1292034.0
83,10/29 11:39:33,326,-53554.945833173544,-0.11932527273893356,0.08731470257043839,16.33054245552609,False,True,-1673039.375
84,10/29 11:39:38,505,-64623.03017485503,-0.057217422872781754,-0.09952929615974426,27.91952113374602,False,True,-412276.78125
85,10/29 11:39:48,864,-62314.591862100715,-0.01140817254781723,-0.050107624381780624,6.417839808861326,False,True,-1012985.25
86,10/29 11:39:58,763,-74879.13617364226,0.07431389391422272,-0.05396558716893196,29.723490257423155,False,True,-3679870.5
87,10/29 11:40:13,1186,-62193.41074492929,0.09320344030857086,-0.03348008915781975,4.755122069166259,False,True,-1041358.375
88,10/29 11:40:19,408,-59004.06805949668,0.028349505737423897,0.12617690861225128,13.280241933949835,False,True,-381838.0625
89,10/29 11:40:25,418,-54926.0716134691,-0.028091570362448692,0.1104251891374588,22.48666266928502,False,True,-667115.9375
90,10/29 11:40:32,425,-59873.49837962591,-0.08369049429893494,0.05446759611368179,28.990892853882894,False,True,-2048855.625
91,10/29 11:41:28,1933,-43366.440879855974,-0.053113363683223724,-0.05393418297171593,7.426384312989867,False,True,-405113.84375
92,10/29 11:41:58,3450,-72789.39287849437,0.013528162613511086,0.025557873770594597,5.470104649848953,False,True,-1862286.375
