epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/29 09:53:12,10000,-80308.69315138849,-0.04884835332632065,-0.13299493491649628,7.218703773518325,False,True,-441636.84375
2,10/29 09:53:57,10000,-22007.034165489564,-0.0714498832821846,0.01994401589035988,6.658292219097782,False,True,-427272.34375
3,10/29 09:54:38,10000,-70493.42185320184,-0.07728516310453415,-0.10794070363044739,3.58202961617185,False,True,-380580.84375
4,10/29 09:56:27,9139,-79645.66810393284,-0.09605800360441208,-0.060784436762332916,8.426226847298787,False,True,-507806.875
5,10/29 09:56:46,1773,-121264.55873350706,0.09178604185581207,0.13276398181915283,28.382485342965744,False,True,-540033.625
6,10/29 09:56:57,835,-109497.47047911225,-0.031055886298418045,0.11742392182350159,29.182861443430575,False,True,-1267800.75
7,10/29 09:57:13,1538,-119893.61697447262,0.06756989657878876,0.027151253074407578,19.301566790534153,False,True,-1265753.375
8,10/29 09:57:27,1239,-106555.83403115554,0.09864336997270584,-0.09716983139514923,22.388620374460587,False,True,-72312888.0
9,10/29 09:57:35,554,-107983.44006215765,-0.03608955070376396,-0.08599233627319336,14.416257239913744,False,True,-884516.4375
10,10/29 09:57:48,1330,-112758.85222633625,0.07863405346870422,0.04773383215069771,10.02434051717956,False,True,-892306.25
11,10/29 09:58:38,4166,-80063.48086665217,0.06632062047719955,0.015895111486315727,18.900926302062583,False,True,-973821.9375
12,10/29 09:58:48,1009,-96376.9949004626,0.04603651538491249,-0.049838241189718246,14.692952709993369,False,True,-25350854.0
13,10/29 09:58:59,1023,-100876.15916580574,0.10393307358026505,0.0677029937505722,16.074019993193687,False,True,-587732.8125
14,10/29 09:59:24,2570,-104522.71953481954,-0.13696487247943878,0.05970526114106178,13.199531196691504,False,True,-1352876.5
15,10/29 09:59:32,715,-99208.79089522081,-0.06017403304576874,-0.1307855248451233,12.439793584965546,False,True,-519527.75
16,10/29 10:00:41,6526,-75522.91072010164,-0.10883698612451553,-0.023447247222065926,2.816732685008445,False,True,-570913.9375
17,10/29 10:00:50,903,-127244.64506189154,-0.016842829063534737,-0.007351130712777376,11.383817961580021,False,True,-5259356.0
18,10/29 10:01:15,2218,-111931.5599383149,0.03479095548391342,0.10630764067173004,5.0690824394987235,False,True,-793286.1875
19,10/29 10:01:22,556,-106562.84812689145,0.08469194173812866,-0.027719594538211823,24.290381583172376,False,True,-1870431.125
20,10/29 10:01:33,783,-121701.60507335918,0.09401953220367432,0.07359262555837631,17.233991024195895,False,True,-726090.5
21,10/29 10:02:05,2053,-93669.43848801573,-0.12806634604930878,0.02146204560995102,29.131685366042177,False,True,-878664.6875
22,10/29 10:02:13,745,-103506.46409506715,-0.0863909125328064,0.11579747498035431,28.301108137838494,False,True,-3519842.25
23,10/29 10:02:24,1069,-107163.86013047752,0.12874585390090942,-0.011815245263278484,16.963370918610607,False,True,-916473.9375
24,10/29 10:02:33,906,-104310.4768027152,0.041251085698604584,-0.010816543363034725,29.092659454983785,False,True,-3427371.5
25,10/29 10:02:51,1776,-116603.27146533993,-0.03305324912071228,-0.011585738509893417,1.5166600991778398,False,True,-2612139.75
26,10/29 10:03:04,1138,-113150.46908955995,0.03353770077228546,0.1394902914762497,4.034082538032189,False,True,-653943.125
27,10/29 10:03:18,1274,-125230.80717096399,0.058668751269578934,0.13378222286701202,8.709089440818458,False,True,-650715.375
28,10/29 10:03:26,668,-125228.47323483309,-0.00846745353192091,0.026411257684230804,28.81392111162813,False,True,-6978926.0
29,10/29 10:03:33,636,-125530.5326036516,-0.011621881276369095,-0.06623750180006027,10.104605394134353,False,True,-1612272.25
30,10/29 10:03:48,1384,-118700.2901051325,0.08153802901506424,0.13928429782390594,9.10713336279027,False,True,-537537.5
31,10/29 10:04:11,2157,-91708.19898345158,-0.11291075497865677,0.028002705425024033,25.748836679124235,False,True,-1080088.25
32,10/29 10:04:18,674,-98493.49291274078,-0.12152568250894547,0.022887397557497025,9.990930646042028,False,True,-998532.125
33,10/29 10:04:32,1799,-102912.37876300327,-0.06481229513883591,0.13079294562339783,12.763414059046307,False,True,-1559735.625
34,10/29 10:05:12,2130,-118709.95159073998,0.0829826146364212,0.018014205619692802,8.106165186163368,False,True,-1175383.0
35,10/29 10:05:45,1871,-132969.23281528612,0.11370877921581268,0.025576725602149963,8.817294774731595,False,True,-954652.375
36,10/29 10:06:01,1003,-151273.5141881648,0.09572393447160721,0.04726430028676987,14.019013221114255,False,True,-1057943.75
37,10/29 10:06:09,526,-104256.19999138056,-0.07973851263523102,0.11689422279596329,10.405056699067476,False,True,-2805926.75
38,10/29 10:06:35,1455,-104792.74615858225,0.03469160199165344,-0.1271769255399704,17.426694819015694,False,True,-1133074.375
39,10/29 10:06:45,668,-100883.6768446365,-0.05973552167415619,0.003369122976437211,9.769231212304996,False,True,-1789784.0
40,10/29 10:07:00,915,-105943.59508962728,-0.09292975068092346,0.022167982533574104,3.0204344351471417,False,True,-1497186.875
41,10/29 10:09:58,1177,-99490.61803356907,0.06506259739398956,0.010554008185863495,29.591026808879967,False,True,-1315724.5
42,10/29 10:10:01,270,-102246.6614292148,0.13501232862472534,-0.006204837467521429,27.013140094302905,False,True,-793794.4375
43,10/29 10:10:08,764,-114990.33848173413,-0.07720986008644104,-0.05693283677101135,23.864255107358392,False,True,-857224.0
44,10/29 10:10:14,678,-111021.73812707873,0.0012883199378848076,-0.12021909654140472,27.089946082043987,False,True,-933498.75
45,10/29 10:10:19,564,-112770.73974549363,-0.09213458746671677,0.07432596385478973,16.294580560193932,False,True,-6332367.0
46,10/29 10:10:23,435,-113714.85613219439,0.01685803197324276,0.10298308730125427,29.173987929933624,False,True,-948880.125
47,10/29 10:10:29,722,-116176.0750132851,-0.006751801818609238,-0.11398126929998398,21.510548416412778,False,True,-962255.6875
48,10/29 10:10:34,810,-113314.21530801736,0.002085902029648423,-0.1253608763217926,4.479720709370303,False,True,-919198.875
49,10/29 10:10:36,269,-104781.24478165641,0.12637214362621307,-0.024451253935694695,17.080489670362674,False,True,-1028064.4375
