epoch,datetime,duration,total_reward,ball_x,ball_y,ball_mass_g,terminated,truncated,total_reward_per_L1_dist
1,10/30 12:23:19,10000,-94212.4338275862,-0.13381321728229523,-0.07491743564605713,20.234232753853128,False,True,-451358.90625
2,10/30 12:24:48,10000,-55195.81328824598,-0.11716653406620026,-0.008107388392090797,10.863677046491299,False,True,-440600.96875
3,10/30 12:26:14,10000,-48721.33502750846,-0.05749319866299629,0.10866820067167282,27.617460163427083,False,True,-952053.4375
4,10/30 12:27:37,10000,-29043.19990435773,-0.04823615401983261,0.07626993209123611,10.924326126436942,False,True,-1036007.3125
5,10/30 12:28:55,10000,-111299.69312624929,-0.11084802448749542,-0.08028858155012131,23.198727202416215,False,True,-582304.4375
6,10/30 12:31:14,10000,-37362.08861839622,0.094324991106987,-0.02109760418534279,3.127656551178597,False,True,-510220.15625
7,10/30 12:32:15,10000,-45395.96224603301,0.06233620643615723,0.033717766404151917,21.889477188222955,False,True,-472608.875
8,10/30 12:33:51,10000,-13409.402316336218,-0.0016134553588926792,0.019269639626145363,21.4644818467773,False,True,-759473.375
9,10/30 12:35:26,10000,-22627.926892045893,0.10125601291656494,0.01774725317955017,11.889123250592098,False,True,-190145.4375
10,10/30 12:37:02,10000,-8757.907201058935,-0.06656888127326965,0.02539045363664627,14.953346742380056,False,True,-212681.921875
11,10/30 12:38:35,10000,-48521.20385808153,0.06817681342363358,-0.09755062311887741,2.5888664695480954,False,True,-1651852.625
12,10/30 12:40:10,10000,-79141.03883284272,0.12599004805088043,-0.1148582249879837,12.969375627164238,False,True,-7109441.0
13,10/30 12:41:14,6791,-80648.5033018628,0.08464483916759491,0.005387472454458475,28.14111799042559,False,True,-895772.875
14,10/30 12:42:50,10000,25787.87909781845,-0.03037402406334877,-0.0669979602098465,18.568458156256913,False,True,264838.8125
15,10/30 12:44:24,10000,-35895.4944786173,0.07031313329935074,-0.08754517138004303,8.290516968739142,False,True,-2083067.375
16,10/30 12:45:56,10000,-40950.962531967394,-0.10857421904802322,0.042986027896404266,7.694685310251891,False,True,-624364.875
17,10/30 12:46:11,1454,-97339.63388009129,-0.11161671578884125,0.05851715803146362,16.523364395958815,False,True,-1833153.375
18,10/30 12:46:40,3104,-94380.16879107154,-0.08595326542854309,0.06018567457795143,28.713568611452196,False,True,-3662747.25
19,10/30 12:47:01,2251,-97562.98769805724,-0.12804032862186432,0.06975848972797394,17.0194155450396,False,True,-1673986.0
20,10/30 12:48:33,10000,-10398.267953814377,0.05086011812090874,0.02782812900841236,15.745110950245275,False,True,-132145.109375
21,10/30 12:48:42,866,-101075.37132877608,0.11021081358194351,0.08647151291370392,28.41657975881849,False,True,-513901.65625
22,10/30 12:50:15,10000,-61001.36659735662,0.08134403079748154,0.11482415348291397,11.039478578203282,False,True,-310964.625
23,10/30 12:50:51,3927,61260.89942096869,-0.019963126629590988,-0.012253924272954464,9.58669586728612,True,False,1901505.375
24,10/30 12:52:24,10000,-33612.49121836921,0.13044613599777222,0.058143287897109985,18.947927523091803,False,True,-178231.0625
25,10/30 12:53:57,10000,-61749.58776311516,-0.12085374444723129,-0.035906534641981125,14.344769876519017,False,True,-393910.9375
26,10/30 12:55:30,10000,-130455.5225388882,0.13003215193748474,0.12709812819957733,2.3375489989096754,False,True,-507351.875
27,10/30 12:57:03,10000,-47685.46651119924,0.12382873147726059,0.02245159074664116,19.715936689294836,False,True,-325986.875
28,10/30 12:58:36,10000,-43916.67322458398,-0.06789010018110275,0.10691140592098236,3.0424321643628276,False,True,-1125453.625
29,10/30 13:00:10,10000,-5189.15047935326,0.02366362139582634,0.03777994215488434,11.356381682956226,False,True,-84453.9296875
30,10/30 13:01:43,10000,-8817.35215756148,-0.00034342490835115314,0.06131686642765999,12.65356223444633,False,True,-144609.71875
31,10/30 13:03:17,10000,-2602.726103232107,-0.05364689230918884,0.022467590868473053,8.690071600448658,False,True,-83476.0859375
32,10/30 13:04:59,10000,-44172.0435853634,0.09301695227622986,-0.09442130476236343,4.716677872957874,False,True,-31453672.0
33,10/30 13:06:31,10000,-21657.105834074337,0.004671801812946796,0.03575114160776138,23.365011253282002,False,True,-535762.6875
34,10/30 13:08:05,10000,-50389.61901713297,-0.06098107993602753,-0.09286345541477203,13.77815790114699,False,True,-327535.96875
35,10/30 13:09:38,10000,-47635.53917718403,-0.11830513924360275,-9.80775075731799e-05,6.15342362711855,False,True,-402316.25
36,10/30 13:11:10,10000,-20325.38032969662,0.050669487565755844,-0.047649115324020386,16.85034052913851,False,True,-6729429.0
37,10/30 13:12:43,10000,-51850.06150354454,0.13087701797485352,0.0009755453211255372,24.360957780090008,False,True,-393242.71875
38,10/30 13:14:08,10000,-30657.530535859893,-0.11780796945095062,-0.006303911097347736,13.305457544458399,False,True,-247015.28125
39,10/30 13:15:24,10000,-1123.5311095211905,-0.01811353862285614,0.02875198982656002,9.196514937276516,False,True,-105610.40625
40,10/30 13:15:29,524,-100079.56726200215,-0.0045775156468153,0.13275104761123657,24.784627689067683,False,True,-780813.0625
41,10/30 13:28:40,10000,-65044.78439911344,0.005742859560996294,-0.12739384174346924,3.564550617880857,False,True,0.12752322059140359,0.008122377914725058,-510062.27804991737
42,10/30 13:30:13,10000,-5600.015773929795,0.033761270344257355,-0.0162056777626276,2.096966270399839,False,True,0.037449263669555345,0.047747528585625705,-149536.07161260073
43,10/30 13:31:37,10000,-49961.35772623355,-0.07568657398223877,-0.08231443166732788,7.16536647291594,False,True,0.11182183664786739,0.10671940368703232,-446794.2865539259
44,10/30 13:32:27,6767,-109394.55083640937,-0.05676744133234024,-0.11901366710662842,24.3893886377637,False,True,0.13185900027270095,0.0785014829514964,-829632.7941981034
45,10/30 13:34:02,10000,-46621.268061437964,0.1097215861082077,0.013418972492218018,1.6103761994525443,False,True,0.11053910817875931,0.14969846665817094,-421762.65784634306
46,10/30 13:35:10,10000,-27566.375284010912,-0.028839780017733574,-0.08142632246017456,1.739312768213498,False,True,0.08638274743208013,0.03497677294333626,-319118.99196868483
47,10/30 13:35:20,906,-98170.85451808343,0.02447424829006195,-0.016020452603697777,22.773272184771404,False,True,0.029251389161260563,0.1498834988190975,-3356109.139872824
48,10/30 13:35:34,1185,-107260.1509781394,0.0474572516977787,0.0856231078505516,11.081941710526515,False,True,0.09789539143648013,0.2121894628004708,-1095660.8825425212
49,10/30 13:35:50,1297,-118601.16064279371,-0.01952435076236725,0.08541617542505264,25.096447539498577,False,True,0.08761919282071648,0.12551234643058065,-1353597.959815397
50,10/30 13:35:56,500,-99104.44007370161,-0.02661396563053131,-0.11360406130552292,19.648529679740776,False,True,0.11667984438522616,0.0863481806472663,-849370.6911924034
51,10/30 13:36:01,427,-104049.5227720802,-0.07935868203639984,-0.12299905717372894,20.428392876056908,False,True,0.14637816711447652,0.14745749713228054,-710826.7907925588
52,10/30 13:37:21,10000,-33250.78728078102,0.10027185082435608,0.015518036670982838,1.8548208306108926,False,True,0.10146552738256787,0.09493851918380262,-327705.2624524536
53,10/30 13:37:41,2742,-106700.41283944371,-0.08212526142597198,0.09553565829992294,7.8246191110591665,False,True,0.1259826170774906,0.21215459566306558,-846945.5176805337
54,10/30 13:37:59,2812,-91704.71406422109,-0.04905014857649803,-0.01671331375837326,6.371474651016208,False,True,0.05181941603853222,0.2121532007659244,-1769697.944801823
55,10/30 13:38:11,1663,-127171.40272369422,-0.0024723864626139402,0.11216273158788681,14.462697819684488,False,True,0.11218997653071314,0.16082617656916895,-1133536.227176942
56,10/30 13:38:18,848,-95306.64757611291,0.006065070629119873,-0.07841169089078903,11.708547864619383,False,True,0.07864590376678159,0.09096060744140802,-1211845.0295737905
57,10/30 13:38:25,1118,-88659.60477423813,0.02795708365738392,0.034176744520664215,15.950325073546823,False,True,0.04415482275843671,0.21154931606245747,-2007925.7312225953
58,10/30 13:38:31,757,-97612.73052559682,-0.0599261038005352,-0.04694955796003342,19.38308008582166,False,True,0.07612751622809827,0.21217216121984964,-1282226.6555120903
59,10/30 13:38:37,965,-98467.64796640827,-0.09174083173274994,-0.025773804634809494,8.96906595181476,False,True,0.09529254383915801,0.21215107063898347,-1033319.5442091402
60,10/30 13:38:41,572,-101100.95020703762,-0.10412969440221786,-0.10492301732301712,22.577175272122144,False,True,0.14782365185282373,0.21219001677397636,-683929.4587830628
